Dogs,Date From,Date To,Payment Date,Provider,Cost,Fees,Type
Ernie,22/04/2024,22/04/2024,22/04/2024,Rover,15.3,2.7,Daycare
Shan Mei & Melody,23/04/2024,25/04/2024,24/04/2024,Rover,43.35,7.65,Boarding
Shan Mei & Melody,10/05/2024,24/05/2024,24/05/2024,Rover,666.4,117.6,Boarding
Jelle,30/05/2024,02/06/2024,02/06/2024,Rover,76.5,13.5,Boarding
Ernie,03/06/2024,03/06/2024,05/06/2024,Personal,18,0,Daycare
Ernie,04/06/2024,04/06/2024,05/06/2024,Personal,18,0,Daycare
Waffle,05/06/2024,07/06/2024,07/06/2024,Rover,56.1,9.9,Boarding
Ernie,05/06/2024,05/06/2024,05/06/2024,Personal,18,0,Daycare
Ernie,10/06/2024,10/06/2024,10/06/2024,Personal,18,0,Daycare
Ernie,11/06/2024,11/06/2024,10/06/2024,Personal,18,0,Daycare
Ernie,17/06/2024,17/06/2024,16/06/2024,Personal,18,0,Daycare
Ernie,19/06/2024,19/06/2024,16/06/2024,Personal,18,0,Daycare
Ernie,24/06/2024,24/06/2024,24/06/2024,Personal,18,0,Daycare
Ernie,26/06/2024,26/06/2024,24/06/2024,Personal,18,0,Daycare
Ernie,27/06/2024,01/07/2024,24/06/2024,Personal,112,0,Boarding
Ernie,02/07/2024,02/07/2024,02/07/2024,Personal,18,0,Daycare
Theo & Tara,03/07/2024,15/07/2024,08/06/2024,Personal,100,0,Boarding
Ernie,03/07/2024,03/07/2024,02/07/2024,Personal,18,0,Daycare
Ernie,05/07/2024,05/07/2024,02/07/2024,Personal,18,0,Daycare
Ernie,17/07/2024,17/07/2024,19/07/2024,Personal,18,0,Daycare
Ernie,22/07/2024,22/07/2024,21/07/2024,Personal,18,0,Daycare
Ernie,23/07/2024,23/07/2024,21/07/2024,Personal,18,0,Daycare
Ernie,29/07/2024,04/08/2024,28/07/2024,Personal,308,0,Boarding
Ozzy,12/08/2024,23/08/2024,23/08/2024,Rover,308.55,54.45,Boarding
Ernie,10/09/2024,10/09/2024,12/09/2024,Personal,18,0,Daycare
Ernie,11/09/2024,11/09/2024,12/09/2024,Personal,18,0,Daycare
Ernie,12/09/2024,12/09/2024,12/09/2024,Personal,18,0,Daycare
Ernie,24/09/2024,24/09/2024,24/09/2024,Personal,18,0,Daycare
Ernie,25/09/2024,25/09/2024,24/09/2024,Personal,18,0,Daycare
Ernie,27/09/2024,27/09/2024,24/09/2024,Personal,18,0,Daycare
Jack,28/09/2024,29/09/2024,29/09/2024,Personal,33,0,Daycare
Ernie,30/09/2024,30/09/2024,02/10/2024,Personal,18,0,Daycare
Ernie,01/10/2024,01/10/2024,02/10/2024,Personal,18,0,Daycare
